date,station,aod_047,pm25
2018-10-17,Mundka,0.282,172.5
2018-10-17,NSIT Dwarka,0.523,118.83708333333334
2018-10-17,Najafgarh,0.449,87.79166666666667
2018-10-17,Narela,0.538,181.09375
2018-10-17,Nehru Nagar,0.588,148.32291666666666
2018-10-17,North Campus,0.492,135.63
2018-10-17,Okhla Phase-2,0.414,154.29166666666666
2018-10-17,Patparganj,0.6265,149.90625
2018-10-17,Punjabi Bagh,0.5035,122.51041666666667
2018-10-17,Pusa,0.5085,75.49145833333334
2018-10-17,R K Puram,0.5425,146.5625
2018-10-17,Rohini,0.5215,177.09375
2018-10-17,Shadipur,0.5055,229.35772727272726
2018-10-17,Sirifort,0.5665,106.36458333333333
2018-10-17,Sonia Vihar,0.627,168.45833333333334
2018-10-17,Sri Aurobindo Marg,0.5645,102.84375
2018-10-17,Vivek Vihar,0.629,171.47916666666666
2018-10-17,Wazirpur,0.346,172.98684210526315
2018-10-18,Anand Vihar,0.711,172.0625
2018-10-18,Ashok Vihar,0.65,58.041666666666664
2018-10-18,Aya Nagar,0.916,122.97125
2018-10-18,Bawana,0.7745,195.66666666666666
2018-10-18,Burari Crossing,0.671,198.42499999999998
2018-10-18,CRRI Mathura Road,0.776,208.44291666666666
2018-10-18,DTU,0.646,163.58333333333334
2018-10-18,Dr. Karni Singh Shooting Range,0.766,133.39583333333334
2018-10-18,Dwarka-Sector 8,0.765,123.16666666666667
2018-10-18,Jahangirpuri,0.651,186.08333333333334
2018-10-18,Jawaharlal Nehru Stadium,0.773,119.19791666666667
2018-10-18,Lodhi Road,0.785,94.70375
2018-10-18,Major Dhyan Chand National Stadium,0.792,121.16666666666667
2018-10-18,Mundka,0.619,200.39583333333334
2018-10-18,NSIT Dwarka,0.765,158.40416666666667
2018-10-18,Najafgarh,0.64,92.39583333333333
2018-10-18,Narela,0.742,196.35416666666666
2018-10-18,North Campus,0.618,153.7735294117647
2018-10-18,Rohini,0.7845,204.08333333333334
2018-10-18,Sonia Vihar,0.762,161.70833333333334
2018-10-18,Wazirpur,0.634,184.26041666666666
2018-10-19,Anand Vihar,1.0215,171.51041666666666
